name,categories,fragrance_notes,description,sizes,price_min,price_max,currency,in_stock,product_url,image_url,is_popular
Million night elixir (Perfume),"Clone Perfumes, French","Top: Mandarin, Bergamot and Lemon | Middle: Maple syrup, Cinnamon and Lavender | Base: Vanilla, Benzoin and Labdanum","Million Night Elixir Perfume by Al Haramain Perfumes is a Oriental Woody fragrance for men. Top notes : Mandarin, Bergamot and Lemon Middle notes : Maple syrup, Cinnamon and Lavender Base notes : Vanilla, Benzoin and Labdanum. Million Night Elixir by Al Haramain Perfumes is a bold and sophisticated oriental woody fragrance crafted for men who appreciate warmth and elegance. It opens with a fresh burst of mandarin, bergamot, and lemon, delivering a bright and energetic first impression. The heart unfolds with a rich blend of maple syrup, cinnamon, and lavender, adding a smooth balance of sweetness and aromatic spice. As it settles, creamy vanilla, warm benzoin, and resinous labdanum create a deep, long-lasting finish that leaves a refined and memorable trail. Perfect for evening wear, special occasions, and cooler weather, Million Night Elixir is a confident fragrance with a luxurious and masculine character. Million Night Elixir Perfume Created by Al Haramain Perfumes Hyderabad.","10 ml, 25 ml, 30 ml, 50 ml, 100 ml",150,1200,INR,true,https://alharamainperfumes.in/product/million-night-elixir-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/06/glass-bottles-2.png,false
Million night elixir (Attar),"Clone Attar, French Attar","Top: Mandarin, Bergamot and Lemon | Middle: Maple syrup, Cinnamon and Lavender | Base: Vanilla, Benzoin and Labdanum","Million Night Elixir Perfume by Al Haramain Perfumes is a Oriental Woody fragrance for men. Top notes : Mandarin, Bergamot and Lemon Middle notes : Maple syrup, Cinnamon and Lavender Base notes : Vanilla, Benzoin and Labdanum. Million Night Elixir by Al Haramain Perfumes is a bold and sophisticated oriental woody fragrance crafted for men who appreciate warmth and elegance. It opens with a fresh burst of mandarin, bergamot, and lemon, delivering a bright and energetic first impression. The heart unfolds with a rich blend of maple syrup, cinnamon, and lavender, adding a smooth balance of sweetness and aromatic spice. As it settles, creamy vanilla, warm benzoin, and resinous labdanum create a deep, long-lasting finish that leaves a refined and memorable trail. Perfect for evening wear, special occasions, and cooler weather, Million Night Elixir is a confident fragrance with a luxurious and masculine character. Million Night Elixir Perfume Created by Al Haramain Perfumes Hyderabad.","3 ml, 6 ml, 12 ml",150,600,INR,true,https://alharamainperfumes.in/product/million-night-elixir-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,false
Stronger With you powerfully (Attar),"Clone Attar, French Attar","Top: Cherry and Mandarin Orange | Middle: Spices and Lavender | Base: Chestnut, Vanilla and Amberwood","Stronger With You Powerfully by Al Haramain Perfumes is a Vanilla fragrance for men. Top notes : Cherry and Mandarin Orange Middle notes : Spices and Lavender Base notes : Chestnut, Vanilla and Amberwood. Stronger With You Powerfully by Al Haramain Perfumes is a warm, sweet and slightly spicy fragrance that builds on the gourmand character of the line. The scent opens with a fruity blend of cherry and mandarin orange, combining juiciness with a soft, tangy brightness. In the heart, lavender and spices add aromatic, slightly herbal and piquant nuances, giving contrast to the sweetness. The base is centered on amberwood, chestnut and vanilla, creating a creamy, woody and roasted accord with a pronounced gourmand facet. This structure gives the fragrance a cozy, enveloping character suited to cooler weather and evening wear, with a focus on sweet, woody and spicy tones. Stronger With You Powerfully Perfume Created by Al Haramain Perfumes Hyderabad.","3 ml, 6 ml, 12 ml",150,600,INR,true,https://alharamainperfumes.in/product/with-you-powerfully-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,false
Stronger With you powerfully (Perfume),"Clone Perfumes, French","Top: Cherry and Mandarin Orange | Middle: Spices and Lavender | Base: Chestnut, Vanilla and Amberwood","Stronger With You Powerfully by Al Haramain Perfumes is a Vanilla fragrance for men. Top notes : Cherry and Mandarin Orange Middle notes : Spices and Lavender Base notes : Chestnut, Vanilla and Amberwood. Stronger With You Powerfully by Al Haramain Perfumes is a warm, sweet and slightly spicy fragrance that builds on the gourmand character of the line. The scent opens with a fruity blend of cherry and mandarin orange, combining juiciness with a soft, tangy brightness. In the heart, lavender and spices add aromatic, slightly herbal and piquant nuances, giving contrast to the sweetness. The base is centered on amberwood, chestnut and vanilla, creating a creamy, woody and roasted accord with a pronounced gourmand facet. This structure gives the fragrance a cozy, enveloping character suited to cooler weather and evening wear, with a focus on sweet, woody and spicy tones. Stronger With You Powerfully Perfume Created by Al Haramain Perfumes Hyderabad.","10 ml, 25 ml, 30 ml, 50 ml, 100 ml",150,1200,INR,true,https://alharamainperfumes.in/product/with-you-powerfully-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/06/glass-bottles-2.png,false
le Male in blue JPG (Perfume),"Clone Perfumes, French",Top: is Lavender Middle note is Anise Base note is Benzoin | Middle: is Anise Base note is Benzoin | Base: is Benzoin,"Le Male In Blue Perfume by Al Haramain Perfumes is a Aromatic fragrance for men. Top note is Lavender Middle note is Anise Base note is Benzoin. Le Male In Blue by Al Haramain Perfumes is a modern aromatic fragrance that captures confidence, freshness, and masculine elegance. It opens with the timeless freshness of lavender, creating a clean and invigorating first impression. At the heart, vibrant anise adds a spicy metallic twist, bringing energy and depth to the composition. The fragrance finishes with a rich benzoin base, delivering a warm, smooth, and long-lasting trail. Fresh yet powerful, Le Male In Blue is perfect for men who appreciate a refined fragrance with a bold character. Its balanced blend of aromatic freshness and warm resinous notes makes it an excellent choice for both everyday wear and evening occasions. Le Male In Blue Perfume Created by Al Haramain Perfumes Hyderabad.","10 ml, 25 ml, 30 ml, 50 ml, 100 ml",150,1200,INR,true,https://alharamainperfumes.in/product/male-in-blue-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/06/glass-bottles-2.png,false
Le Male in blue JPG (Attar),"Clone Attar, French Attar",Top: is Lavender Middle note is Anise Base note is Benzoin | Middle: is Anise Base note is Benzoin | Base: is Benzoin,"Le Male In Blue Perfume by Al Haramain Perfumes is a Aromatic fragrance for men. Top note is Lavender Middle note is Anise Base note is Benzoin. Le Male In Blue by Al Haramain Perfumes is a modern aromatic fragrance that captures confidence, freshness, and masculine elegance. It opens with the timeless freshness of lavender, creating a clean and invigorating first impression. At the heart, vibrant anise adds a spicy metallic twist, bringing energy and depth to the composition. The fragrance finishes with a rich benzoin base, delivering a warm, smooth, and long-lasting trail. Fresh yet powerful, Le Male In Blue is perfect for men who appreciate a refined fragrance with a bold character. Its balanced blend of aromatic freshness and warm resinous notes makes it an excellent choice for both everyday wear and evening occasions. Le Male In Blue Perfume Created by Al Haramain Perfumes Hyderabad.","3 ml, 6 ml, 12 ml",150,600,INR,true,https://alharamainperfumes.in/product/male-in-blue-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,false
Blue oud IAQ super (Attar),,Top: Oud and Blue Lilies | Middle: Leather and Patchouli | Base: Tobacco and Amber,"Blue oud IAQ super (Attar) by Al Haramain Perfumes is a fragrance for women and men. Top notes : Oud and Blue Lilies Middle notes : Leather and Patchouli Base notes : Tobacco and Amber. Blue Oud is a fragrance that begins with bold and stable notes of oud, complemented by the delicate and fresh aroma of blue lilies. The heart reveals a charming blend of patchouli and luxurious leather, while the base combines tobacco and amber to create a wonderful fragrance with a perfect blend. Blue oud IAQ super Attar Created by Al Haramain Perfumes Hyderabad.","3ml, 6ml, 12ml",250,1000,INR,true,https://alharamainperfumes.in/product/blue-oud-iaq-super-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,false
Blue oud IAQ Super (Perfume),,Top: Oud and Blue Lilies | Middle: Leather and Patchouli | Base: Tobacco and Amber,"Blue oud IAQ super (Perfume) by Al Haramain Perfumes is a fragrance for women and men. Top notes : Oud and Blue Lilies Middle notes : Leather and Patchouli Base notes : Tobacco and Amber. Blue Oud is a fragrance that begins with bold and stable notes of oud, complemented by the delicate and fresh aroma of blue lilies. The heart reveals a charming blend of patchouli and luxurious leather, while the base combines tobacco and amber to create a wonderful fragrance with a perfect blend. Blue oud IAQ super Perfume Created by Al Haramain Perfumes Hyderabad.","10ml, 25ml, 50ml, 100ml",300,2500,INR,true,https://alharamainperfumes.in/product/blue-oud-iaq-super-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/07/Charminar-theam-Glass-Bottle-1.png,false
D Sakura (Perfume),Clone Perfumes,"Top: is Green Notes | Middle: Japanese Cherry Blossom, Rose, Jasmine and Hedione | Base: White Musk, Mimosa and Violet","D Sakura Perfume by Al Haramain Perfumes is a fragrance for women and men. Top note is Green Notes. Middle notes : Japanese Cherry Blossom, Rose, Jasmine and Hedione Base notes : White Musk, Mimosa and Violet. D Sakura by Al Haramain Perfumes is a delicate and elegant unisex fragrance inspired by the beauty of blooming cherry blossoms. It opens with refreshing green notes that create a crisp and uplifting first impression. At its heart, a graceful blend of Japanese Cherry Blossom, rose, jasmine, and hedione adds a soft floral sophistication. The fragrance settles into a smooth and comforting base of white musk, mimosa, and violet, leaving a clean, airy, and long-lasting trail. D Sakura Perfume Created by Al Haramain Perfumes Hyderabad.","10 ml, 25 ml, 50 ml, 100ml",200,1500,INR,false,https://alharamainperfumes.in/product/sakura-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/06/glass-bottles-2.png,false
D Sakura (Attar),"Arabic Attar, Clone Attar","Top: is Green Notes | Middle: Japanese Cherry Blossom, Rose, Jasmine and Hedione | Base: White Musk, Mimosa and Violet","D Sakura Perfume by Al Haramain Perfumes is a fragrance for women and men. Top note is Green Notes. Middle notes : Japanese Cherry Blossom, Rose, Jasmine and Hedione Base notes : White Musk, Mimosa and Violet. D Sakura by Al Haramain Perfumes is a delicate and elegant unisex fragrance inspired by the beauty of blooming cherry blossoms. It opens with refreshing green notes that create a crisp and uplifting first impression. At its heart, a graceful blend of Japanese Cherry Blossom, rose, jasmine, and hedione adds a soft floral sophistication. The fragrance settles into a smooth and comforting base of white musk, mimosa, and violet, leaving a clean, airy, and long-lasting trail. D Sakura Attar Created by Al Haramain Perfumes Hyderabad.","3 ml, 6 ml, 12 ml",150,600,INR,false,https://alharamainperfumes.in/product/sakura-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,false
Mont Explorer extreme (Perfume),"Clone Perfumes, French",Top: Bergamot | Middle: Patchouli and Vetiver | Base: Amber and Leather,"Mont Explorer Extreme by Al Haramain Perfumes is a Woody fragrance for men. Top note: Bergamot Middle notes : Patchouli and Vetiver Base notes : Amber and Leather. This composition is characterized by a blend of woody, leathery, and spicy notes, designed to evoke the spirit of adventure. The fragrance opens with a radiant note of bergamot, followed by earthy patchouli and vetiver at the heart. The base is defined by warm amber accord and leather, providing depth and warmth to the overall scent. Mont Explorer Extreme Perfume Created by Al Haramain Perfumes Hyderabad.","10 ml, 25 ml, 30 ml, 50 ml, 100 ml",150,1200,INR,true,https://alharamainperfumes.in/product/explorer-extreme-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/06/glass-bottles-2.png,false
Explorer extreme (Attar),"Clone Attar, French Attar",Top: Bergamot | Middle: Patchouli and Vetiver | Base: Amber and Leather,"Mont Explorer Extreme by Al Haramain Perfumes is a Woody fragrance for men. Top note: Bergamot Middle notes : Patchouli and Vetiver Base notes : Amber and Leather. This composition is characterized by a blend of woody, leathery, and spicy notes, designed to evoke the spirit of adventure. The fragrance opens with a radiant note of bergamot, followed by earthy patchouli and vetiver at the heart. The base is defined by warm amber accord and leather, providing depth and warmth to the overall scent. Mont Explorer Extreme Attar Created by Al Haramain Perfumes Hyderabad.","3 ml, 6 ml, 12 ml",150,600,INR,true,https://alharamainperfumes.in/product/explorer-extreme-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,false
Guerl Peche mirage (Perfume),"Clone Perfumes, French","Top: Peach, Blackcurrant and Saffron | Middle: Osmanthus | Base: Leather, Amber and Sandalwood","Guerl Peche Mirage by Al Haramain Perfumes is a Floral Fruity fragrance for women and men. Top notes: Peach, Blackcurrant and Saffron Middle note : Osmanthus Base notes: Leather, Amber and Sandalwood. Guerl Peche Mirage by is a unisex fragrance.This scent is characterized by its blend of peach, saffron, and black currant in the top notes, osmanthus in the heart, and a base of sandalwood and amber. Guerl Peche Mirage Perfume Created by Al Haramain Perfumes Hyderabad.","10 ml, 25 ml, 50 ml, 100ml",400,3500,INR,false,https://alharamainperfumes.in/product/peche-mirage-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/07/Charminar-theam-Glass-Bottle-1.png,false
Guerl Peche mirage (Attar),"Clone Attar, French Attar, French Attars, Premium Attars","Top: Peach, Blackcurrant and Saffron | Middle: Osmanthus | Base: Leather, Amber and Sandalwood","Guerl Peche Mirage by Al Haramain Perfumes is a Floral Fruity fragrance for women and men. Top notes: Peach, Blackcurrant and Saffron Middle note : Osmanthus Base notes: Leather, Amber and Sandalwood. Guerl Peche Mirage by is a unisex fragrance.This scent is characterized by its blend of peach, saffron, and black currant in the top notes, osmanthus in the heart, and a base of sandalwood and amber. Guerl Peche Mirage Attar Created by Al Haramain Perfumes Hyderabad.","3 ml, 6 ml, 12 ml, 24ml",300,1200,INR,false,https://alharamainperfumes.in/product/peche-mirage-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,true
Mont Oud Sapparot (Perfume),"Clone Perfumes, Premium Perfumes","Top: Pineapple, Cambodian Oud and Saffron | Middle: Leather, Birch and Cinnamon | Base: Coconut, Vanilla and White Musk","Mont Oud Sapparot by Al Haramain Perfumes is a Woody Chypre fragrance for women and men. Top notes : Pineapple, Cambodian Oud and Saffron Middle notes: Leather, Birch and Cinnamon Base notes : Coconut, Vanilla and White Musk. Oud Sapparot by Al Haramain Perfumes is a bold and exotic fragrance that blends the juicy sweetness of Thai pineapple with the smoky richness of Cambodian oud. Enhanced by saffron, cinnamon, dark leather, and silver birch, it creates a striking contrast between tropical freshness and deep woody intensity. A warm base of vanilla, coconut, and white musk leaves a sensual and long-lasting impression. Mont Oud Sapparot Perfume Created by Al Haramain Perfumes Hyderabad.","10 ml, 25 ml, 50 ml, 100ml",300,2500,INR,true,https://alharamainperfumes.in/product/oud-sapparot-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/07/Charminar-theam-Glass-Bottle-1.png,false
Mont Oud sapparot (Attar),"Arabic Attar, Clone Attar, Premium Attars","Top: Pineapple, Cambodian Oud and Saffron | Middle: Leather, Birch and Cinnamon | Base: Coconut, Vanilla and White Musk","Mont Oud Sapparot by Al Haramain Perfumes is a Woody Chypre fragrance for women and men. Top notes : Pineapple, Cambodian Oud and Saffron Middle notes: Leather, Birch and Cinnamon Base notes : Coconut, Vanilla and White Musk. Oud Sapparot by Al Haramain Perfumes is a bold and exotic fragrance that blends the juicy sweetness of Thai pineapple with the smoky richness of Cambodian oud. Enhanced by saffron, cinnamon, dark leather, and silver birch, it creates a striking contrast between tropical freshness and deep woody intensity. A warm base of vanilla, coconut, and white musk leaves a sensual and long-lasting impression. Mont Oud Sapparot Attar Created by Al Haramain Perfumes Hyderabad.","3 ml, 6 ml, 12 ml",250,1000,INR,true,https://alharamainperfumes.in/product/oud-sapparot-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,false
Wood sage and sea salt JML (Perfume),"Clone Perfumes, French",,"Wood Sage & Sea Salt JML by Al Haramain Perfumes is a a Aromatic fragrance for women and men. The fragrance features Sea Salt, Sage, Grapefruit, Ambrette (Musk Mallow) and Seaweed. Wood Sage & Sea Salt by Al Haramain Perfumes is a fresh and sophisticated fragrance inspired by the freedom of the seaside. It opens with vibrant grapefruit and ambrette seed, blending seamlessly with mineral sea salt and aromatic sage. The fragrance settles into a smooth, woody trail accented by red algae, creating a clean, airy, and effortlessly elegant scent that captures the essence of a coastal escape. Wood Sage & Sea Salt JML Perfume Created by Al Haramain Perfumes Hyderabad.","10 ml, 25 ml, 30 ml, 50 ml, 100 ml",150,1200,INR,true,https://alharamainperfumes.in/product/wood-sage-and-sea-salt-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/06/glass-bottles-2.png,false
Wood sage and sea salt JML (Attar),"Clone Attar, French Attar",,"Wood Sage & Sea Salt JML by Al Haramain Perfumes is a a Aromatic fragrance for women and men. The fragrance features Sea Salt, Sage, Grapefruit, Ambrette (Musk Mallow) and Seaweed. Wood Sage & Sea Salt by Al Haramain Perfumes is a fresh and sophisticated fragrance inspired by the freedom of the seaside. It opens with vibrant grapefruit and ambrette seed, blending seamlessly with mineral sea salt and aromatic sage. The fragrance settles into a smooth, woody trail accented by red algae, creating a clean, airy, and effortlessly elegant scent that captures the essence of a coastal escape. Wood Sage & Sea Salt JML Attar Created by Al Haramain Perfumes Hyderabad.","3 ml, 6 ml, 12 ml",150,600,INR,true,https://alharamainperfumes.in/product/wood-sage-and-sea-salt-attar/,https://alharamainperfumes.in/wp-content/uploads/2025/09/WhatsApp-Image-2025-11-08-at-10.13.31-PM.jpeg,false
Bleu De Channel L exclusif Super (Perfume),,,"Bleu De Channel L exclusif Perfume by Al Haramain Perfumes is a Woody Aromatic fragrance for men. Fragrance Notes: Amber, Woody Notes, Labdanum & Sandalwood. A rich and elegant woody fragrance with warm amber, resinous labdanum, and creamy sandalwood. Smooth, long-lasting, and perfectly balanced with a deep, captivating trail. Bleu De Channel L exclusif Perfume Created by Al Haramain Perfumes Hyderabad.","10ml, 25ml, 50ml, 100ml",300,2500,INR,true,https://alharamainperfumes.in/product/bleu-de-channel-l-exclusif-super-perfume/,https://alharamainperfumes.in/wp-content/uploads/2026/07/Cowboy-100ml-Bottle.png,false
